epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,309.736,1.26543,1.56056,1.07029,0.29421,0.0944,0.07346,0.04442,1.64504,4.31911,1.31979,3.5199e-05,3.5199e-05,3.5199e-05
112,312.489,1.24515,1.53208,1.06044,0.26955,0.10083,0.07917,0.04673,1.6356,4.31727,1.31782,3.51099e-05,3.51099e-05,3.51099e-05
113,314.987,1.27327,1.58693,1.03918,0.27061,0.09901,0.07834,0.0471,1.62556,4.32359,1.31519,3.50208e-05,3.50208e-05,3.50208e-05
114,317.504,1.26628,1.54261,1.05879,0.29578,0.09336,0.07799,0.04719,1.62316,4.32439,1.31436,3.49317e-05,3.49317e-05,3.49317e-05
115,320.046,1.22689,1.5749,1.05568,0.29448,0.0942,0.07857,0.04771,1.62138,4.33706,1.31479,3.48426e-05,3.48426e-05,3.48426e-05
116,323.128,1.22559,1.52803,1.0278,0.2976,0.0867,0.07863,0.04783,1.62433,4.3445,1.31787,3.47535e-05,3.47535e-05,3.47535e-05
117,326.094,1.26297,1.54552,1.04775,0.30866,0.08671,0.07748,0.0475,1.62522,4.34479,1.32116,3.46644e-05,3.46644e-05,3.46644e-05
118,328.502,1.25776,1.5588,1.05,0.29224,0.09486,0.07958,0.04803,1.6244,4.34408,1.32197,3.45753e-05,3.45753e-05,3.45753e-05
119,331.002,1.2616,1.55451,1.07603,0.292,0.09604,0.08103,0.04861,1.63007,4.34397,1.32484,3.44862e-05,3.44862e-05,3.44862e-05
120,333.547,1.24115,1.45058,1.05883,0.30349,0.09693,0.08411,0.04941,1.63916,4.35811,1.33109,3.43971e-05,3.43971e-05,3.43971e-05
121,336.217,1.18828,1.44231,1.04154,0.30807,0.10037,0.08879,0.05186,1.64943,4.37821,1.3396,3.4308e-05,3.4308e-05,3.4308e-05
122,339.577,1.28761,1.59525,1.04329,0.32899,0.09677,0.09001,0.05363,1.6516,4.40359,1.34418,3.42189e-05,3.42189e-05,3.42189e-05
123,342.06,1.24748,1.50307,1.03779,0.3367,0.09587,0.09037,0.05364,1.65827,4.40207,1.34394,3.41298e-05,3.41298e-05,3.41298e-05
124,344.549,1.21365,1.46892,1.06732,0.32629,0.1012,0.09147,0.05448,1.66424,4.3857,1.34348,3.40407e-05,3.40407e-05,3.40407e-05
125,347.039,1.21015,1.43855,1.04366,0.31372,0.1023,0.09173,0.05484,1.67007,4.37749,1.34252,3.39516e-05,3.39516e-05,3.39516e-05
126,349.548,1.25406,1.5116,1.03871,0.32617,0.10151,0.09226,0.05456,1.67358,4.37291,1.34284,3.38625e-05,3.38625e-05,3.38625e-05
127,352.697,1.23902,1.47543,1.06775,0.29876,0.10213,0.0914,0.05482,1.67115,4.3688,1.3387,3.37734e-05,3.37734e-05,3.37734e-05
128,355.852,1.22125,1.40573,1.04417,0.2934,0.0984,0.09092,0.05411,1.67183,4.36586,1.33804,3.36843e-05,3.36843e-05,3.36843e-05
129,358.516,1.23869,1.45948,1.10475,0.45049,0.06662,0.08909,0.05407,1.66743,4.34779,1.33573,3.35952e-05,3.35952e-05,3.35952e-05
