epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,335.834,1.3203,1.7068,1.09238,0.24599,0.1362,0.09402,0.05444,1.60558,4.30005,1.35317,3.39752e-05,3.39752e-05,3.39752e-05
108,338.694,1.26032,1.63309,1.08091,0.25581,0.13822,0.09078,0.05191,1.60986,4.27908,1.35259,3.389e-05,3.389e-05,3.389e-05
109,341.82,1.2614,1.53205,1.07433,0.26964,0.13683,0.08992,0.0516,1.6117,4.29041,1.35302,3.38049e-05,3.38049e-05,3.38049e-05
110,344.836,1.2613,1.55432,1.07636,0.26936,0.14197,0.09028,0.05315,1.61201,4.28019,1.35239,3.37197e-05,3.37197e-05,3.37197e-05
111,347.647,1.29452,1.56963,1.0948,0.27649,0.14232,0.09405,0.05546,1.61329,4.281,1.35233,3.36346e-05,3.36346e-05,3.36346e-05
112,350.561,1.28964,1.60373,1.06464,0.27528,0.13416,0.08951,0.05322,1.62338,4.28431,1.35714,3.35495e-05,3.35495e-05,3.35495e-05
113,353.488,1.25781,1.509,1.04757,0.27494,0.13535,0.09084,0.05409,1.62288,4.29214,1.35867,3.34643e-05,3.34643e-05,3.34643e-05
114,356.661,1.28193,1.55052,1.04004,0.28764,0.13803,0.0908,0.05389,1.62343,4.29613,1.36096,3.33792e-05,3.33792e-05,3.33792e-05
115,359.471,1.21321,1.53862,1.05193,0.30372,0.11628,0.08795,0.05283,1.62799,4.30223,1.36268,3.3294e-05,3.3294e-05,3.3294e-05
116,362.251,1.27209,1.50238,1.05482,0.29705,0.11743,0.09904,0.05649,1.62956,4.29546,1.36698,3.32089e-05,3.32089e-05,3.32089e-05
117,365.064,1.24515,1.44875,1.06912,0.28086,0.13969,0.10141,0.05751,1.64048,4.28112,1.37223,3.31238e-05,3.31238e-05,3.31238e-05
118,368.422,1.25432,1.46343,1.07439,0.27914,0.13562,0.1004,0.0563,1.64271,4.26827,1.37412,3.30386e-05,3.30386e-05,3.30386e-05
119,371.233,1.25464,1.47262,1.07191,0.26966,0.14374,0.10275,0.05804,1.64372,4.23644,1.37356,3.29535e-05,3.29535e-05,3.29535e-05
120,374.209,1.28386,1.49378,1.04193,0.26733,0.14421,0.10336,0.0588,1.65001,4.22507,1.37775,3.28683e-05,3.28683e-05,3.28683e-05
121,377.098,1.23218,1.47578,1.08092,0.27895,0.1467,0.1097,0.06398,1.65164,4.24033,1.37827,3.27832e-05,3.27832e-05,3.27832e-05
122,380.563,1.2498,1.41869,1.05971,0.29292,0.14,0.10821,0.06304,1.64387,4.24327,1.37404,3.26981e-05,3.26981e-05,3.26981e-05
123,383.521,1.23443,1.40737,1.05716,0.3002,0.15044,0.10756,0.06222,1.632,4.21883,1.36687,3.26129e-05,3.26129e-05,3.26129e-05
124,386.306,1.20534,1.38826,1.05884,0.32914,0.14278,0.11272,0.0658,1.60137,4.17306,1.34856,3.25278e-05,3.25278e-05,3.25278e-05
125,389.3,1.251,1.46735,1.07592,0.34217,0.14113,0.11369,0.06755,1.58917,4.16457,1.3429,3.24426e-05,3.24426e-05,3.24426e-05
126,392.628,1.21906,1.39605,1.06743,0.3486,0.13279,0.1149,0.06815,1.58329,4.15087,1.34097,3.23575e-05,3.23575e-05,3.23575e-05
127,395.917,1.27868,1.44883,1.054,0.35143,0.12833,0.11632,0.07009,1.58197,4.17215,1.34205,3.22724e-05,3.22724e-05,3.22724e-05
128,398.803,1.19712,1.37092,1.04522,0.28319,0.13554,0.11337,0.06787,1.59367,4.19064,1.34948,3.21872e-05,3.21872e-05,3.21872e-05
129,401.567,1.21839,1.31912,1.04695,0.2903,0.13072,0.11056,0.0668,1.6051,4.20311,1.35654,3.21021e-05,3.21021e-05,3.21021e-05
130,404.522,1.23712,1.43729,1.04907,0.27705,0.1338,0.11076,0.06658,1.61266,4.21465,1.36035,3.20169e-05,3.20169e-05,3.20169e-05
131,407.72,1.21178,1.37235,1.05444,0.25215,0.1391,0.10848,0.06431,1.61958,4.22441,1.36484,3.19318e-05,3.19318e-05,3.19318e-05
132,410.914,1.21821,1.41433,1.06775,0.23543,0.14481,0.10574,0.06116,1.63353,4.22767,1.37246,3.18467e-05,3.18467e-05,3.18467e-05
133,413.694,1.19618,1.32904,1.05233,0.23257,0.14383,0.10238,0.05863,1.63357,4.23428,1.37311,3.17615e-05,3.17615e-05,3.17615e-05
134,416.489,1.24169,1.33465,1.04596,0.24769,0.13208,0.10347,0.05938,1.6276,4.24364,1.37292,3.16764e-05,3.16764e-05,3.16764e-05
135,419.727,1.25053,1.3107,1.05886,0.2501,0.13175,0.10348,0.05879,1.62115,4.23316,1.36735,3.15912e-05,3.15912e-05,3.15912e-05
